shot,checked_methods,rule_evaluated,routed_eae,invalid,final_good_before_dedup,selected_good,final_bad,manual_overrides,review_status
nstxuE202806A02t025,rules|rf-cnn,204,496,0,77,76,127,0,prior_reviewed_cohort
nstxuE202806A02t045,rules,244,220,0,90,90,154,0,prior_reviewed_cohort
nstxuE202842A01t030,rules,211,223,0,75,74,136,0,not_visually_reviewed
nstxuE202842A01t035,rules,242,393,0,89,87,153,0,not_visually_reviewed
nstxuE202855A01t025,rules,219,489,0,89,88,130,0,not_visually_reviewed
nstxuE202855A01t030,rules,169,621,0,64,64,105,0,not_visually_reviewed
nstxuE202926A03t025,rules|rf-cnn,131,199,0,51,51,80,0,prior_reviewed_cohort
nstxuE202926A03t030,rules,213,246,0,69,68,144,0,not_visually_reviewed
nstxuE202926A03t037,rules,172,213,0,54,54,118,0,not_visually_reviewed
nstxuE202944A02t020,rules,154,343,0,39,39,115,0,not_visually_reviewed
nstxuE202944A02t021,rules|rf-cnn,160,510,0,38,38,122,0,prior_reviewed_cohort
nstxuE202944A02t023,rules,188,630,0,61,61,127,0,not_visually_reviewed
nstxuE202944A02t028,rules,249,541,0,80,80,169,0,not_visually_reviewed
nstxuE202947A03t015,rules|rf-cnn,107,81,0,59,59,48,1,prior_reviewed_cohort
nstxuE202947A03t020,rules,161,306,0,53,52,108,0,not_visually_reviewed
nstxuE202947A03t025,rules,205,407,0,71,71,134,0,not_visually_reviewed
nstxuE202947A03t037,rules,305,809,0,50,50,255,0,not_visually_reviewed
nstxuE203262A04t018,rules|rf-cnn,228,345,0,146,146,82,0,prior_reviewed_cohort
nstxuE203262A04t022,rules,202,254,0,75,75,127,0,not_visually_reviewed
nstxuE203262A04t025,rules,229,449,0,105,104,124,0,not_visually_reviewed
nstxuE203609A01t017,rules,108,90,0,67,66,41,0,not_visually_reviewed
nstxuE203609A01t020,rules|rf-cnn,85,162,0,35,35,50,0,prior_reviewed_cohort
nstxuE203609A01t030,rules,211,315,0,106,106,105,0,not_visually_reviewed
nstxuE203609A01t037,rules,184,300,0,89,89,95,0,not_visually_reviewed
nstxuE203653A02t020,rules,121,92,0,28,28,93,0,not_visually_reviewed
nstxuE203653A02t025,rules|rf-cnn,145,261,0,80,80,65,1,prior_reviewed_cohort
nstxuE203653A02t030,rules,183,487,0,72,70,111,0,not_visually_reviewed
nstxuE203655F01t017,rules,159,179,0,72,72,87,0,not_visually_reviewed
nstxuE203655F01t025,rules|rf-cnn,249,309,0,85,84,164,1,prior_reviewed_cohort
nstxuE203656A02t017,rules,164,161,0,109,108,55,0,not_visually_reviewed
nstxuE203656A02t020,rules,160,133,0,61,60,99,0,not_visually_reviewed
nstxuE203656A02t025,rules,171,379,0,85,85,86,0,not_visually_reviewed
nstxuE203656A02t030,rules|rf-cnn,146,801,0,38,38,108,2,prior_reviewed_cohort
nstxuE203963A01t017,rules,161,261,0,44,44,117,0,not_visually_reviewed
nstxuE203963A01t020,rules,165,466,0,52,52,113,0,not_visually_reviewed
nstxuE203963A01t025,rules|rf-cnn,96,597,0,27,27,69,0,prior_reviewed_cohort
nstxuE203963A01t030,rules,169,724,0,63,63,106,0,not_visually_reviewed
nstxuE203981A01t017,rules,210,390,0,69,69,141,0,not_visually_reviewed
nstxuE203981A01t019,rules,141,335,0,68,68,73,0,not_visually_reviewed
nstxuE203981A01t022,rules,176,487,0,78,78,98,0,not_visually_reviewed
nstxuE203981A01t025,rules|rf-cnn,165,527,0,78,78,87,0,prior_reviewed_cohort
nstxuE204118F01t017,rules,78,439,0,17,17,61,0,not_visually_reviewed
nstxuE204118F01t020,rules,118,521,0,30,30,88,0,not_visually_reviewed
nstxuE204118F01t035,rules,65,612,0,1,1,64,0,not_visually_reviewed
nstxuE204118F01t040,rules,70,290,0,17,17,53,0,not_visually_reviewed
nstxuE204186A01t017,rules,150,355,0,29,29,121,0,not_visually_reviewed
nstxuE204186A01t020,rules|rf-cnn,205,842,0,56,56,149,0,prior_reviewed_cohort
nstxuE204186A01t025,rules,204,791,0,89,88,115,0,not_visually_reviewed
nstxuE204186A01t030,rules,203,392,0,78,78,125,0,not_visually_reviewed
nstxuE204621A03t017,rules,171,429,0,23,23,148,0,not_visually_reviewed
nstxuE204621A03t020,rules,167,556,0,36,36,131,0,not_visually_reviewed
nstxuE204621A03t025,rules,211,686,0,81,81,130,0,not_visually_reviewed
